=== MOEA/D (n=50) on shared test data ===
Loading instances from paretofront/shared_test_50.pkl
MOEA/D: 101 weight vectors, n_gen=4000, T=3
Evaluating on 200 instances
  Instance 1/200
  Instance 10/200
  Instance 20/200
  Instance 30/200
  Instance 40/200
  Instance 50/200
  Instance 60/200
  Instance 70/200
  Instance 80/200
  Instance 90/200
  Instance 100/200
  Instance 110/200
  Instance 120/200
  Instance 130/200
  Instance 140/200
  Instance 150/200
  Instance 160/200
  Instance 170/200
  Instance 180/200
  Instance 190/200
  Instance 200/200

======================================================================
  MOEA/D Results | n=50 | 200 instances | 33577.2s
        λ₁    λ₂       f₁ (Distance)        f₂ (Waiting)
----------------------------------------------------------------------
    0.0    1.0   2738.81 ± 190.12        0.08 ± 0.86    
    0.0    1.0   2717.02 ± 186.44        1.02 ± 1.48    
    0.0    1.0   2703.55 ± 181.25        2.53 ± 2.57    
    0.0    1.0   2691.54 ± 179.69        4.56 ± 3.61    
    0.0    1.0   2682.98 ± 179.94        6.19 ± 4.40    
    0.1    0.9   2673.88 ± 177.95        8.16 ± 5.27    
    0.1    0.9   2664.38 ± 174.95        9.91 ± 6.19    
    0.1    0.9   2656.99 ± 174.30       11.67 ± 6.90    
    0.1    0.9   2649.85 ± 173.26       13.42 ± 7.45    
    0.1    0.9   2644.25 ± 172.16       15.09 ± 7.92    
    0.1    0.9   2638.36 ± 171.51       16.99 ± 8.77    
    0.1    0.9   2632.92 ± 169.83       18.57 ± 9.29    
    0.1    0.9   2627.98 ± 168.67       20.30 ± 9.72    
    0.1    0.9   2623.20 ± 167.46       21.76 ± 10.27   
    0.1    0.9   2619.28 ± 167.30       22.86 ± 10.61   
    0.1    0.8   2615.13 ± 167.19       24.76 ± 11.33   
    0.2    0.8   2610.70 ± 167.03       26.15 ± 12.12   
    0.2    0.8   2606.02 ± 166.88       27.72 ± 12.42   
    0.2    0.8   2602.93 ± 166.95       29.14 ± 12.85   
    0.2    0.8   2599.44 ± 166.58       30.71 ± 13.28   
    0.2    0.8   2595.61 ± 166.03       31.93 ± 13.65   
    0.2    0.8   2592.57 ± 165.33       33.37 ± 14.44   
    0.2    0.8   2590.13 ± 164.29       34.22 ± 14.94   
    0.2    0.8   2587.70 ± 164.64       35.65 ± 15.65   
    0.2    0.8   2583.30 ± 163.87       37.30 ± 16.05   
    0.2    0.8   2580.53 ± 162.82       38.90 ± 16.51   
    0.3    0.7   2577.79 ± 162.55       40.07 ± 17.43   
    0.3    0.7   2576.16 ± 162.59       40.98 ± 17.82   
    0.3    0.7   2573.69 ± 161.96       42.02 ± 18.15   
    0.3    0.7   2572.01 ± 162.02       43.53 ± 18.21   
    0.3    0.7   2569.11 ± 161.65       45.07 ± 18.57   
    0.3    0.7   2566.47 ± 160.53       46.62 ± 19.40   
    0.3    0.7   2564.82 ± 160.61       47.72 ± 19.41   
    0.3    0.7   2562.88 ± 160.51       49.05 ± 19.80   
    0.3    0.7   2560.09 ± 160.61       51.07 ± 20.65   
    0.3    0.7   2558.05 ± 160.51       52.07 ± 20.81   
    0.4    0.6   2555.54 ± 160.31       53.46 ± 21.55   
    0.4    0.6   2553.98 ± 160.43       54.67 ± 22.02   
    0.4    0.6   2552.63 ± 159.77       55.64 ± 22.93   
    0.4    0.6   2551.45 ± 159.85       56.74 ± 23.25   
    0.4    0.6   2548.94 ± 159.30       58.63 ± 23.95   
    0.4    0.6   2546.64 ± 159.88       60.17 ± 24.37   
    0.4    0.6   2545.27 ± 159.82       61.51 ± 25.17   
    0.4    0.6   2543.62 ± 159.31       63.02 ± 25.43   
    0.4    0.6   2542.28 ± 158.72       64.02 ± 25.73   
    0.5    0.6   2540.66 ± 158.63       65.43 ± 26.93   
    0.5    0.5   2538.85 ± 158.89       67.10 ± 27.44   
    0.5    0.5   2537.15 ± 159.21       68.50 ± 27.81   
    0.5    0.5   2535.55 ± 158.69       69.83 ± 28.42   
    0.5    0.5   2534.23 ± 158.53       71.29 ± 29.22   
    0.5    0.5   2533.27 ± 158.52       72.37 ± 28.93   
    0.5    0.5   2531.52 ± 158.49       74.01 ± 29.24   
    0.5    0.5   2529.86 ± 158.45       76.57 ± 30.63   
    0.5    0.5   2528.54 ± 158.37       78.15 ± 30.91   
    0.5    0.5   2527.31 ± 158.33       80.06 ± 31.28   
    0.6    0.4   2525.97 ± 158.57       81.46 ± 31.40   
    0.6    0.4   2524.38 ± 158.57       83.79 ± 32.26   
    0.6    0.4   2523.07 ± 158.44       85.49 ± 32.97   
    0.6    0.4   2521.20 ± 158.37       87.47 ± 34.15   
    0.6    0.4   2520.19 ± 158.24       88.64 ± 34.71   
    0.6    0.4   2518.95 ± 158.38       90.29 ± 35.48   
    0.6    0.4   2517.53 ± 158.28       92.07 ± 36.13   
    0.6    0.4   2515.69 ± 158.00       93.95 ± 36.89   
    0.6    0.4   2514.26 ± 157.76       95.61 ± 37.45   
    0.6    0.4   2512.91 ± 157.39       97.41 ± 37.83   
    0.7    0.3   2511.21 ± 157.90      100.41 ± 39.35   
    0.7    0.3   2509.93 ± 157.66      102.23 ± 40.07   
    0.7    0.3   2508.64 ± 157.40      104.63 ± 40.18   
    0.7    0.3   2507.29 ± 157.68      107.15 ± 41.51   
    0.7    0.3   2506.09 ± 157.84      108.70 ± 41.42   
    0.7    0.3   2504.51 ± 157.84      111.79 ± 42.80   
    0.7    0.3   2503.23 ± 157.73      113.51 ± 43.88   
    0.7    0.3   2501.73 ± 158.07      116.48 ± 45.31   
    0.7    0.3   2500.27 ± 158.18      118.33 ± 46.91   
    0.7    0.3   2498.57 ± 158.39      121.13 ± 47.53   
    0.8    0.2   2497.08 ± 158.17      124.40 ± 48.71   
    0.8    0.2   2495.77 ± 158.38      127.03 ± 49.00   
    0.8    0.2   2494.18 ± 158.31      129.57 ± 50.42   
    0.8    0.2   2493.02 ± 158.48      131.67 ± 51.41   
    0.8    0.2   2491.90 ± 158.64      133.15 ± 50.84   
    0.8    0.2   2490.17 ± 158.47      137.13 ± 53.59   
    0.8    0.2   2488.68 ± 158.48      140.26 ± 54.75   
    0.8    0.2   2487.67 ± 158.32      143.40 ± 56.54   
    0.8    0.2   2486.07 ± 158.54      146.97 ± 57.67   
    0.8    0.2   2484.29 ± 158.35      150.97 ± 59.56   
    0.8    0.2   2482.75 ± 158.66      155.14 ± 61.64   
    0.9    0.1   2481.22 ± 158.79      161.05 ± 61.42   
    0.9    0.1   2479.44 ± 158.86      165.65 ± 62.21   
    0.9    0.1   2478.01 ± 159.12      170.38 ± 64.47   
    0.9    0.1   2477.05 ± 158.61      172.84 ± 65.55   
    0.9    0.1   2474.91 ± 158.65      180.34 ± 69.20   
    0.9    0.1   2473.14 ± 158.61      187.12 ± 72.18   
    0.9    0.1   2471.99 ± 158.93      191.15 ± 72.53   
    0.9    0.1   2469.83 ± 158.82      199.28 ± 76.64   
    0.9    0.1   2468.26 ± 158.73      207.48 ± 82.79   
    0.9    0.1   2466.79 ± 159.02      214.11 ± 84.39   
    1.0    0.0   2464.53 ± 159.12      228.68 ± 89.11   
    1.0    0.0   2463.06 ± 159.28      238.72 ± 90.00   
    1.0    0.0   2461.19 ± 159.15      251.09 ± 94.20   
    1.0    0.0   2459.89 ± 159.36      265.84 ± 100.25  
    1.0    0.0   2459.33 ± 159.48      281.63 ± 107.08  
======================================================================

Hypervolume Indicator: 156202.30
Reference point: f₁=3012.69, f₂=309.80

Results saved to paretofront/moead_results_50_exp1.pkl
Text results saved to paretofront/moead_results_50_exp1.txt
